run_id,model,arm,classification,baseline_status,baseline_B_passed,baseline_B_total,baseline_R_passed,baseline_R_total,baseline_F04,feature_status,feature_C_passed,feature_C_total,feature_B_regression_passed,feature_B_regression_total,feature_R_passed,feature_R_total,original_C05,original_C08,baseline_repairs,feature_repairs,refinement_rounds,observed_interval_s,complete_time_receipts,receipt_count,time_coverage,known_estimate_usd,known_estimate_count,missing_estimate_count,actual_charge
astra-APP1-r01,astra,APP1,qualified,qualified,8,8,8,8,pass,qualified,8,8,8,8,8,8,pass,pass,0,0,0,1315.810822332976408,4,4,complete-receipts-only; overhead unknown,unknown,0,4,unknown
astra-APP2-r01,astra,APP2,qualified,qualified,8,8,8,8,pass,qualified,8,8,8,8,8,8,pass,pass,0,0,1,1401.794245124910999,6,6,complete-receipts-only; overhead unknown,unknown,0,6,unknown
astra-APP3-r01,astra,APP3,qualified,qualified,8,8,8,8,pass,qualified,8,8,8,8,8,8,pass,pass,0,0,5,787.366760916891516,10,11,complete-receipts-only; overhead unknown; partial interrupted history,unknown,0,11,unknown
astra-APP4-r01,astra,APP4,app-failed,app-failed,8,8,8,8,fail,qualified,8,8,8,8,8,8,pass,pass,0,1,5,1829.949525668169437,13,13,complete-receipts-only; overhead unknown,unknown,0,13,unknown
sol-APP1-r01,sol,APP1,blocked,qualified,8,8,8,8,pass,coverage-blocked,7,8,8,8,8,8,pass,blocked-original-continuity-unobserved,0,0,0,923.53065958304797,4,5,complete-receipts-only; overhead unknown; partial interrupted history,2.16041600,5,0,unknown
sol-APP2-r01,sol,APP2,qualified,qualified,8,8,8,8,pass,qualified,8,8,8,8,8,8,pass,pass,1,0,1,1307.433523252024283,7,7,complete-receipts-only; overhead unknown,3.43837680,7,0,unknown
sol-APP3-r01,sol,APP3,qualified,qualified,8,8,8,8,pass,qualified,8,8,8,8,8,8,pass,pass,1,0,5,1270.221565581974565,11,11,complete-receipts-only; overhead unknown,2.77419360,11,0,unknown
sol-APP4-r01,sol,APP4,blocked,qualified,8,8,8,8,pass,coverage-blocked,7,8,8,8,8,8,pass,blocked-original-continuity-unobserved,0,0,5,1977.466241291258459,15,16,complete-receipts-only; overhead unknown; partial interrupted history,5.06272480,15,1,unknown
terra-APP1-r01,terra,APP1,qualified,qualified,8,8,8,8,pass,qualified,8,8,8,8,8,8,pass,pass,1,0,0,579.556558666983618,5,5,complete-receipts-only; overhead unknown,0.84517320,5,0,unknown
terra-APP2-r01,terra,APP2,qualified,qualified,8,8,1,8,pass,qualified,8,8,8,8,8,8,pass,pass,1,0,1,650.785445541841921,7,7,complete-receipts-only; overhead unknown,0.80479840,7,0,unknown
terra-APP3-r01,terra,APP3,app-failed,app-failed,8,8,8,8,fail,coverage-blocked,8,8,3,8,0,8,pass,pass,1,0,5,877.257448708172917,11,11,complete-receipts-only; overhead unknown,1.15498440,11,0,unknown
terra-APP4-r01,terra,APP4,blocked,coverage-blocked,0,8,0,8,blocked,prerequisite-blocked,0,8,0,8,0,8,not-applicable-feature-unsent,not-applicable-feature-unsent,1,0,5,950.986624959274183,15,15,complete-receipts-only; overhead unknown,1.35717480,15,0,unknown
luna-APP1-r01,luna,APP1,blocked,qualified,8,8,8,8,pass,coverage-blocked,7,8,8,8,8,8,blocked-original-continuity-unobserved,blocked-original-continuity-unobserved,1,1,0,933.319668332929732,6,6,complete-receipts-only; overhead unknown,0.15753300,6,0,unknown
luna-APP2-r01,luna,APP2,blocked,qualified,8,8,1,8,pass,coverage-blocked,7,8,8,8,8,8,pass,blocked-original-continuity-unobserved,1,0,1,945.494551001174837,7,7,complete-receipts-only; overhead unknown,0.12836632,7,0,unknown
luna-APP3-r01,luna,APP3,blocked,qualified,8,8,1,8,pass,coverage-blocked,7,8,8,8,8,8,pass,blocked-original-continuity-unobserved,1,0,5,1057.406246669008392,13,13,complete-receipts-only; overhead unknown,0.15310352,13,0,unknown
luna-APP4-r01,luna,APP4,app-failed,app-failed,8,8,8,8,fail,qualified,8,8,8,8,8,8,pass,pass,0,1,5,1655.249314959044562,17,17,complete-receipts-only; overhead unknown,0.24331840,17,0,unknown
